Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Фаворитка,The Favourite,2018,119,Великобритания,драма,Йоргос Лантимос,7.3,https://www.kinopoisk.ru/film/938644/
Власть,Vice,2018,132,США,драма,Адам Маккей,7.2,https://www.kinopoisk.ru/film/1044045/
Рома,Roma,2018,135,Мексика,драма,Альфонсо Куарон,7.2,https://www.kinopoisk.ru/film/1008486/
Чёрный клановец,BlacKkKlansman,2018,135,США,драма,Спайк Ли,6.8,https://www.kinopoisk.ru/film/1093170/
Чёрная Пантера,Black Panther,2018,134,США,фантастика,Райан Куглер,6.6,https://www.kinopoisk.ru/film/623250/
"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",2017,115,Великобритания,драма,Мартин Макдона,8.1,https://www.kinopoisk.ru/film/944098/
Назови меня своим именем,Call Me by Your Name,2017,132,Италия,драма,Лука Гуаданьино,7.6,https://www.kinopoisk.ru/film/979148/
Темные времена,Darkest Hour,2017,125,Великобритания,драма,Джо Райт,7.4,https://www.kinopoisk.ru/film/972777/
Дюнкерк,Dunkirk,2017,106,Великобритания,военный,Кристофер Нолан,7.3,https://www.kinopoisk.ru/film/931677/
Прочь,Get Out,2017,104,США,ужасы,Джордан Пил,7.1,https://www.kinopoisk.ru/film/944708/
Призрачная нить,Phantom Thread,2017,130,США,драма,Пол Томас Андерсон,7.1,https://www.kinopoisk.ru/film/991628/
Леди Бёрд,Lady Bird,2017,94,США,драма,Грета Гервиг,7.0,https://www.kinopoisk.ru/film/958293/
Форма воды,The Shape of Water,2017,123,США,фантастика,Гильермо дель Торо,6.9,https://www.kinopoisk.ru/film/977743/
Секретное досье,The Post,2017,116,США,триллер,Стивен Спилберг,6.8,https://www.kinopoisk.ru/film/1040567/
По соображениям совести,Hacksaw Ridge,2016,139,США,биография,Мэл Гибсон,8.2,https://www.kinopoisk.ru/film/649917/
Лев,Lion,2016,118,Австралия,драма,Гарт Дэвис,8.1,https://www.kinopoisk.ru/film/864138/
Ла-Ла Ленд,La La Land,2016,128,США,мюзикл,Дэмьен Шазелл,8.0,https://www.kinopoisk.ru/film/841081/
Скрытые фигуры,Hidden Figures,2016,127,США,драма,Тед Мелфи,8.0,https://www.kinopoisk.ru/film/966036/
Прибытие,Arrival,2016,116,США,фантастика,Дени Вильнёв,7.6,https://www.kinopoisk.ru/film/718811/
